ASSET - HOSTNAME,ASSET - IP_ADDRESS,VULNERABILITY - TITLE,VULNERABILITY - SEVERITY,VULNERABILITY - CVSS,VULNERABILITY - PUBLICATION_DATE
SERVER-4,172.20.0.4,SSL Certificate Chain Contains RSA Keys Less Than 2048 bits,Baixo,,
WORKSTATION-5,172.18.0.5,SSL Certificate Chain Contains RSA Keys Less Than 2048 bits,Baixo,,
WORKSTATION-3,172.18.0.3,VMSA-2019-0022 : VMware ESXi updates address OpenSLP remote code execution vulnerability,Crítico,9.8,12/6/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0022 : VMware ESXi updates address OpenSLP remote code execution vulnerability,Crítico,9.8,12/6/2019
WORKSTATION-1,172.18.0.1,VMSA-2019-0022 : VMware ESXi updates address OpenSLP remote code execution vulnerability,Crítico,9.8,12/6/2019
WORKSTATION-5,172.18.0.5,Oracle Java SE 1.7.0_241 / 1.8.0_231 / 1.11.0_5 / 1.13.0_1 Multiple Vulnerabilities (Oct 2019 CPU) (Windows),Crítico,9.8,10/15/2019
SERVER-3,172.20.0.3,Oracle Java SE 1.7.0_241 / 1.8.0_231 / 1.11.0_5 / 1.13.0_1 Multiple Vulnerabilities (Oct 2019 CPU) (Windows),Crítico,9.8,10/15/2019
SERVER-2,172.20.0.2,Oracle Java SE 1.7.0_241 / 1.8.0_231 / 1.11.0_5 / 1.13.0_1 Multiple Vulnerabilities (Oct 2019 CPU) (Windows),Crítico,9.8,10/15/2019
WORKSTATION-7,172.18.0.7,Adobe Flash Player <= 32.0.0.238 (APSB19-46),Crítico,9.8,9/10/2019
WORKSTATION-7,172.18.0.7,KB4516115: Security update for Adobe Flash Player (September 2019),Crítico,9.8,9/10/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : unixODBC (CESA-2019:2336),Crítico,9.8,2/22/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : tomcat (CESA-2019:2205),Crítico,9.8,2/23/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : systemd (CESA-2019:2091),Crítico,9.8,10/26/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : python-urllib3 (CESA-2019:2272),Crítico,9.8,12/11/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : python-requests (CESA-2019:2035),Crítico,9.8,10/9/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : python (CESA-2019:2030),Crítico,9.1,9/25/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : ntp (CESA-2019:2077),Crítico,9.8,6/20/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : libssh2 (CESA-2019:2136),Crítico,9.1,3/21/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : gdm / libX11 / libxkbcommon / xorg-x11-drv-ati / xorg-x11-drv-vesa / etc (CESA-2019:2079),Crítico,9.8,8/24/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : elfutils (CESA-2019:2197),Crítico,9.8,8/29/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : curl (CESA-2019:2181),Crítico,9.1,10/31/2018
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 68.0.2,Crítico,9.8,8/14/2019
WORKSTATION-5,172.18.0.5,KB4512486: Windows 7 and Windows Server 2008 R2 August 2019 Security Update,Crítico,9.8,8/13/2019
SERVER-1,172.20.0.1,KB4512486: Windows 7 and Windows Server 2008 R2 August 2019 Security Update,Crítico,9.8,8/13/2019
WORKSTATION-7,172.18.0.7,KB4511553: Windows 10 Version 1809 and Windows Server 2019 August 2019 Security Update,Crítico,9.8,8/13/2019
WORKSTATION-1,172.18.0.1,VMSA-2019-0012 : Out-of-bounds pixel shader vulnerabilities,Crítico,10,8/6/2019
WORKSTATION-3,172.18.0.3,VMSA-2019-0012 : Out-of-bounds pixel shader vulnerabilities,Crítico,10,8/6/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0012 : Out-of-bounds pixel shader vulnerabilities,Crítico,10,8/6/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : libssh2 (CESA-2019:1884),Crítico,9.1,3/21/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : httpd (CESA-2019:1898),Crítico,9.8,3/26/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : curl (CESA-2019:1880),Crítico,9.8,9/5/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : python (CESA-2019:1587),Crítico,9.8,6/7/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 67.0.4,Crítico,10,6/20/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 67.0,Crítico,9.8,2/4/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : wget (CESA-2019:1228),Crítico,9.8,5/17/2019
SERVER-1,172.20.0.1,KB4499175: Windows 7 and Windows Server 2008 R2 May 2019 Security Update (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout) (BlueKeep),Crítico,9.8,5/14/2019
WORKSTATION-5,172.18.0.5,KB4499175: Windows 7 and Windows Server 2008 R2 May 2019 Security Update (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout) (BlueKeep),Crítico,9.8,5/14/2019
SERVER-2,172.20.0.2,KB4499175: Windows 7 and Windows Server 2008 R2 May 2019 Security Update (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout) (BlueKeep),Crítico,9.8,5/14/2019
SERVER-2,172.20.0.2,Oracle Java SE 1.7.0_221 / 1.8.0_211 / 1.11.0_3 / 1.12.0_1 Multiple Vulnerabilities (Apr 2019 CPU),Crítico,9,4/16/2019
WORKSTATION-5,172.18.0.5,Oracle Java SE 1.7.0_221 / 1.8.0_211 / 1.11.0_3 / 1.12.0_1 Multiple Vulnerabilities (Apr 2019 CPU),Crítico,9,4/16/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : python (CESA-2019:0710),Crítico,9.8,3/8/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 66.0,Crítico,9.8,3/19/2019
WORKSTATION-9,172.18.0.9,Apache 2.4.x < 2.4.33 Multiple Vulnerabilities,Crítico,9.8,3/21/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : systemd (CESA-2019:0049),Crítico,9.8,10/26/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : perl (CESA-2019:0109),Crítico,9.8,12/7/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : NetworkManager (CESA-2018:3665),Crítico,9.8,10/26/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : PackageKit / accountsservice / adwaita-icon-theme / appstream-data / at-spi2-atk / etc (CESA-2018:3140),Crítico,9.8,5/4/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : glibc (CESA-2018:3092),Crítico,9.8,12/18/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : git (CESA-2018:3408),Crítico,9.8,10/6/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : freeglut / libX11 / libXcursor / libXfont / libXfont2 / libXres / libdrm / libepoxy / etc (CESA-2018:3059),Crítico,9.8,8/1/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : curl / nss-pem (CESA-2018:3157),Crítico,9.8,1/24/2018
SERVER-2,172.20.0.2,Oracle Java SE Multiple Vulnerabilities (October 2018 CPU),Crítico,9,10/16/2018
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (October 2018 CPU),Crítico,9,10/16/2018
WORKSTATION-5,172.18.0.5,Oracle Java SE Multiple Vulnerabilities (October 2018 CPU),Crítico,9,10/16/2018
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (July 2018 CPU),Crítico,9,7/17/2018
WORKSTATION-9,172.18.0.9,Apache 2.4.x < 2.4.33 Multiple Vulnerabilities (deprecated),Crítico,9.8,3/23/2018
WORKSTATION-11,172.18.0.11,Pivotal Software Redis LUA < 3.2.12 / 4.0.x < 4.0.10 / 5.0 < 5.0rc2 Multiple Vulnerabilities,Crítico,9.8,6/14/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : procps-ng (CESA-2018:1700),Crítico,9.8,5/23/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : java-1.8.0-openjdk (CESA-2018:2942),Crítico,9,10/17/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : glibc (CESA-2018:0805),Crítico,9.8,2/24/2015
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (October 2017 CPU),Crítico,9.8,10/17/2017
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (July 2017 CPU),Crítico,9.6,7/18/2017
WORKSTATION-11,172.18.0.11,Redis Server Unprotected by Password Authentication,Crítico,9.8,
WORKSTATION-8,172.18.0.8,KB4022715: Windows 10 Version 1607 and Windows Server 2016 June 2017 Cumulative Update,Crítico,9.8,6/13/2017
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (July 2016 CPU),Crítico,9.6,4/23/2016
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (January 2017 CPU) (SWEET32),Crítico,9.6,8/24/2016
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (October 2016 CPU),Crítico,9.6,10/18/2016
SERVER-3,172.20.0.3,Oracle Java JDK / JRE 6 < Update 43 Remote Code Execution (Windows),Crítico,10,2/28/2013
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (April 2016 CPU),Crítico,9.6,4/19/2016
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (April 2014 CPU),Crítico,9.8,4/15/2014
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (January 2016 CPU) (SLOTH),Crítico,9.8,8/14/2015
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (February 2013 CPU Update 1),Crítico,10,2/19/2013
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (January 2015 CPU) (POODLE),Crítico,9.8,10/14/2014
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (June 2012 CPU),Crítico,9.8,6/12/2012
SERVER-3,172.20.0.3,Oracle Java JDK / JRE 6 < Update 30 Multiple Vulnerabilities,Crítico,9.8,3/4/2008
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (February 2013 CPU),Crítico,9.8,1/19/2013
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (July 2014 CPU),Crítico,9.8,7/15/2014
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (October 2012 CPU),Crítico,9.8,10/16/2012
SERVER-4,172.20.0.4,Microsoft SQL Server Unsupported Version Detection,Crítico,10,
WORKSTATION-5,172.18.0.5,Microsoft SQL Server Unsupported Version Detection,Crítico,10,
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (October 2013 CPU),Crítico,9.8,10/15/2013
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (February 2012 CPU),Crítico,9.8,2/14/2012
SERVER-1,172.20.0.1,Microsoft XML Parser (MSXML) and XML Core Services Unsupported,Crítico,10,
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (January 2014 CPU),Crítico,9.8,1/14/2014
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (April 2015 CPU) (FREAK),Crítico,9.8,4/14/2015
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (June 2013 CPU),Crítico,9.8,6/18/2013
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (July 2015 CPU) (Bar Mitzvah),Crítico,9.8,7/14/2015
SERVER-3,172.20.0.3,Oracle Java JDK / JRE 6 < Update 35 SunToolKit getField() and getMethod() Access Issue,Crítico,9.8,8/10/2012
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (October 2014 CPU),Crítico,9.8,10/14/2014
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (October 2015 CPU),Crítico,9.8,10/20/2015
WORKSTATION-16,172.18.0.16,Unix Operating System Unsupported Version Detection,Crítico,10,
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (April 2013 CPU),Crítico,9.8,3/6/2013
WORKSTATION-1,172.18.0.1,VMware ESXi 5.5 / 6.0 / 6.5 / 6.7 DoS (VMSA-2018-0018) (remote check),Médio,6.5,7/19/2018
WORKSTATION-2,172.18.0.2,VMware ESXi 5.5 / 6.0 / 6.5 / 6.7 DoS (VMSA-2018-0018) (remote check),Médio,6.5,7/19/2018
WORKSTATION-3,172.18.0.3,VMware ESXi 5.5 / 6.0 / 6.5 / 6.7 DoS (VMSA-2018-0018) (remote check),Médio,6.5,7/19/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : tcpdump (CESA-2019:3976),Médio,5.5,11/25/2018
WORKSTATION-3,172.18.0.3,VMSA-2019-0020 : Hypervisor-Specific Mitigations for Denial-of-Service and Speculative-Execution Vulnerabilities,Médio,6.5,11/14/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0020 : Hypervisor-Specific Mitigations for Denial-of-Service and Speculative-Execution Vulnerabilities,Médio,6.5,11/14/2019
WORKSTATION-1,172.18.0.1,VMSA-2019-0020 : Hypervisor-Specific Mitigations for Denial-of-Service and Speculative-Execution Vulnerabilities,Médio,6.5,11/14/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:3834),Médio,6.5,11/14/2019
WORKSTATION-3,172.18.0.3,VMSA-2019-0019 : Denial-of-service vulnerability,Médio,6.5,10/28/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0019 : Denial-of-service vulnerability,Médio,6.5,10/28/2019
WORKSTATION-1,172.18.0.1,VMSA-2019-0019 : Denial-of-service vulnerability,Médio,6.5,10/28/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : java-1.8.0-openjdk (CESA-2019:3128),Médio,4.8,10/16/2019
WORKSTATION-9,172.18.0.9,VMware vCenter Server 6.0 / 6.5 / 6.7 Multiple Vulnerabilities (VMSA-2019-0013),Médio,5.4,9/18/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:2029),Médio,6.7,3/8/2018
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 69.0.1,Médio,4.3,9/18/2019
SERVER-3,172.20.0.3,Security Updates for Microsoft .NET Framework (September 2019),Médio,5.5,9/10/2019
WORKSTATION-7,172.18.0.7,Security Updates for Microsoft .NET Framework (September 2019),Médio,5.5,9/10/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : unzip (CESA-2019:2159),Médio,5.5,10/16/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : openssl (CESA-2019:2304),Médio,5.9,10/30/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : openssh (CESA-2019:2143),Médio,5.3,8/17/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : nspr / nss / nss-softokn / nss-util (CESA-2019:2237),Médio,5.9,6/13/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : mariadb (CESA-2019:2327),Médio,5,7/18/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : linux-firmware (CESA-2019:2169),Médio,6.8,8/7/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : libmspack (CESA-2019:2049),Médio,4.3,10/23/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : glibc (CESA-2019:2118),Médio,5.3,1/21/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : java-1.8.0-openjdk (CESA-2019:1815),Médio,4.8,7/23/2019
SERVER-3,172.20.0.3,Oracle Java SE 1.7.0_231 / 1.8.0_221 / 1.11.0_4 / 1.12.0_2 Multiple Vulnerabilities (Jul 2019 CPU),Médio,4.8,7/16/2019
SERVER-2,172.20.0.2,Oracle Java SE 1.7.0_231 / 1.8.0_221 / 1.11.0_4 / 1.12.0_2 Multiple Vulnerabilities (Jul 2019 CPU),Médio,4.8,7/16/2019
WORKSTATION-5,172.18.0.5,Oracle Java SE 1.7.0_231 / 1.8.0_221 / 1.11.0_4 / 1.12.0_2 Multiple Vulnerabilities (Jul 2019 CPU),Médio,4.8,7/16/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0011 : ESXi patches address partial denial of service vulnerability in hostd process,Médio,5.3,7/11/2019
WORKSTATION-3,172.18.0.3,VMSA-2019-0011 : ESXi patches address partial denial of service vulnerability in hostd process,Médio,5.3,7/11/2019
WORKSTATION-1,172.18.0.1,VMSA-2019-0011 : ESXi patches address partial denial of service vulnerability in hostd process,Médio,5.3,7/11/2019
WORKSTATION-8,172.18.0.8,Mozilla Firefox < 67.0.2,Médio,6.5,6/11/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2019:1168) (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Médio,5.6,5/30/2019
WORKSTATION-1,172.18.0.1,VMSA-2019-0008 : MDS Vulnerabilities (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Médio,5.6,5/30/2019
WORKSTATION-3,172.18.0.3,VMSA-2019-0008 : MDS Vulnerabilities (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Médio,5.6,5/30/2019
WORKSTATION-2,172.18.0.2,VMSA-2019-0008 : MDS Vulnerabilities (MDSUM/RIDL) (MFBDS/RIDL/ZombieLoad) (MLPDS/RIDL) (MSBDS/Fallout),Médio,5.6,5/30/2019
WORKSTATION-1,172.18.0.1,"VMSA-2019-0006 : VMware ESXi, Workstation and Fusion updates address multiple out-of-bounds read vulnerabilities",Médio,6.8,4/15/2019
WORKSTATION-3,172.18.0.3,"VMSA-2019-0006 : VMware ESXi, Workstation and Fusion updates address multiple out-of-bounds read vulnerabilities",Médio,6.8,4/15/2019
WORKSTATION-2,172.18.0.2,"VMSA-2019-0006 : VMware ESXi, Workstation and Fusion updates address multiple out-of-bounds read vulnerabilities",Médio,6.8,4/15/2019
WORKSTATION-3,172.18.0.3,ESXi 6.0 / 6.5 / 6.7 Multiple Vulnerabilities (VMSA-2019-0005) (Remote Check),Médio,6.8,3/28/2019
WORKSTATION-2,172.18.0.2,ESXi 6.0 / 6.5 / 6.7 Multiple Vulnerabilities (VMSA-2019-0005) (Remote Check),Médio,6.8,3/28/2019
WORKSTATION-1,172.18.0.1,ESXi 6.0 / 6.5 / 6.7 Multiple Vulnerabilities (VMSA-2019-0005) (Remote Check),Médio,6.8,3/28/2019
WORKSTATION-7,172.18.0.7,Security Updates for Windows 10 / Windows Server 2019 (February 2019) (Spectre) (Meltdown) (Foreshadow),Médio,5.5,5/22/2018
WORKSTATION-7,172.18.0.7,Security Updates for Windows 10 / Windows Server 2016 / Windows Server 2019 (March 2019) (Spectre) (Meltdown) (Foreshadow),Médio,5.5,5/22/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : tomcat (CESA-2019:0485),Médio,4.3,10/4/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : openssl (CESA-2019:0483),Médio,4.7,11/15/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : systemd (CESA-2019:0368),Médio,5.5,3/21/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : polkit (CESA-2019:0230),Médio,6.7,1/11/2019
WORKSTATION-8,172.18.0.8,Security Updates for Windows 10 / Windows Server 2016 (January 2019) (Spectre),Médio,5.6,1/4/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : gnutls (CESA-2018:3050),Médio,5.9,8/22/2018
WORKSTATION-10,172.18.0.10,Elasticsearch ESA-2018-16,Médio,6.5,11/6/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : wpa_supplicant (CESA-2018:3107),Médio,6.5,8/8/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : wget (CESA-2018:3052),Médio,6.5,5/6/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : setup (CESA-2018:3249),Médio,5.3,7/3/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : krb5 (CESA-2018:3071),Médio,4.7,3/6/2018
WORKSTATION-9,172.18.0.9,Apache 2.4.x < 2.4.35 DoS,Médio,5.9,9/25/2018
WORKSTATION-3,172.18.0.3,"VMSA-2018-0012 : VMware vSphere, Workstation and Fusion updates enable Hypervisor-Assisted Guest Mitigations for Speculative Store Bypass issue (Spectre)",Médio,5.6,
WORKSTATION-2,172.18.0.2,"VMSA-2018-0012 : VMware vSphere, Workstation and Fusion updates enable Hypervisor-Assisted Guest Mitigations for Speculative Store Bypass issue (Spectre)",Médio,5.6,
WORKSTATION-1,172.18.0.1,"VMSA-2018-0012 : VMware vSphere, Workstation and Fusion updates enable Hypervisor-Assisted Guest Mitigations for Speculative Store Bypass issue (Spectre)",Médio,5.6,
WORKSTATION-9,172.18.0.9,VMware vCenter Server 5.5.x / 6.0.x / 6.5.x / 6.7.x Speculative Execution Side Channel Vulnerability (Foreshadow) (VMSA-2018-0020),Médio,5.6,8/14/2018
WORKSTATION-3,172.18.0.3,ESXi 5.5 / 6.0 / 6.5 / 6.7 Speculative Execution Side Channel Vulnerability (Foreshadow) (VMSA-2018-0020) (remote check),Médio,5.6,8/14/2018
WORKSTATION-1,172.18.0.1,ESXi 5.5 / 6.0 / 6.5 / 6.7 Speculative Execution Side Channel Vulnerability (Foreshadow) (VMSA-2018-0020) (remote check),Médio,5.6,8/14/2018
WORKSTATION-2,172.18.0.2,ESXi 5.5 / 6.0 / 6.5 / 6.7 Speculative Execution Side Channel Vulnerability (Foreshadow) (VMSA-2018-0020) (remote check),Médio,5.6,8/14/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : policycoreutils (CESA-2018:0913),Médio,4.4,3/2/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : openssl (CESA-2018:0998),Médio,6.5,11/2/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : openssh (CESA-2018:0980),Médio,5.3,10/26/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : nss (CESA-2018:2768),Médio,5.9,4/29/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : krb5 (CESA-2018:0666),Médio,6.5,8/9/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:1852),Médio,5.6,6/21/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:1629) (Spectre),Médio,5.5,5/22/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : java-1.8.0-openjdk (CESA-2018:1649) (Spectre),Médio,5.5,5/22/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : gcc (CESA-2018:0849),Médio,4,7/26/2017
WORKSTATION-9,172.18.0.9,VMware vCenter Server 5.5.x < 5.5U3g / 6.0.x < 6.0U3d / 6.5.x < 6.5U1e Hypervisor-Assisted Guest Remediation (VMSA-2018-0004) (Spectre),Médio,5.6,1/3/2018
WORKSTATION-1,172.18.0.1,"VMSA-2018-0004 : VMware vSphere, Workstation and Fusion updates add Hypervisor-Assisted Guest Remediation for speculative execution issue (Spectre)",Médio,5.6,1/4/2018
WORKSTATION-2,172.18.0.2,"VMSA-2018-0004 : VMware vSphere, Workstation and Fusion updates add Hypervisor-Assisted Guest Remediation for speculative execution issue (Spectre)",Médio,5.6,1/4/2018
WORKSTATION-3,172.18.0.3,"VMSA-2018-0004 : VMware vSphere, Workstation and Fusion updates add Hypervisor-Assisted Guest Remediation for speculative execution issue (Spectre)",Médio,5.6,1/4/2018
WORKSTATION-2,172.18.0.2,"VMSA-2018-0002 : VMware ESXi, Workstation and Fusion updates address side-channel analysis due to speculative execution. (Spectre)",Médio,5.6,
WORKSTATION-3,172.18.0.3,"VMSA-2018-0002 : VMware ESXi, Workstation and Fusion updates address side-channel analysis due to speculative execution. (Spectre)",Médio,5.6,
WORKSTATION-1,172.18.0.1,"VMSA-2018-0002 : VMware ESXi, Workstation and Fusion updates address side-channel analysis due to speculative execution. (Spectre)",Médio,5.6,
WORKSTATION-12,172.18.0.12,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-3,172.18.0.3,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-3,172.20.0.3,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-2,172.18.0.2,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-9,172.18.0.9,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-2,172.20.0.2,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-4,172.20.0.4,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-13,172.18.0.13,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-5,172.20.0.5,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-14,172.18.0.14,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-6,172.20.0.6,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-7,172.20.0.7,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-8,172.20.0.8,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-4,172.18.0.4,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-8,172.18.0.8,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-6,172.18.0.6,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-5,172.18.0.5,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-15,172.18.0.15,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-7,172.18.0.7,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-9,172.20.0.9,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-16,172.18.0.16,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-1,172.20.0.1,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-17,172.18.0.17,TLS Version 1.0 Protocol Detection,Médio,6.5,
SERVER-10,172.20.0.10,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-18,172.18.0.18,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-1,172.18.0.1,TLS Version 1.0 Protocol Detection,Médio,6.5,
WORKSTATION-9,172.18.0.9,VMware vCenter Server 6.5.x < 6.5u1f Multiple Vulnerabilities (VMSA-2018-0007) (Spectre-1) (Meltdown),Médio,5.6,1/2/2018
WORKSTATION-18,172.18.0.18,AMQP Cleartext Authentication,Médio,4.3,
WORKSTATION-11,172.18.0.11,AMQP Cleartext Authentication,Médio,4.3,
SERVER-1,172.20.0.1,VMware vSphere Update Manager Java Vulnerability (VMSA-2015-0003),Médio,4,1/20/2015
SERVER-9,172.20.0.9,DNS Server Cache Snooping Remote Information Disclosure,Médio,5.3,
SERVER-3,172.20.0.3,DNS Server Cache Snooping Remote Information Disclosure,Médio,5.3,
WORKSTATION-12,172.18.0.12,Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness,Médio,5.1,5/28/2005
SERVER-1,172.20.0.1,Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness,Médio,5.1,5/28/2005
SERVER-1,172.20.0.1,Terminal Services Encryption Level is Medium or Low,Médio,4.3,
WORKSTATION-12,172.18.0.12,Terminal Services Encryption Level is Medium or Low,Médio,4.3,
WORKSTATION-2,172.18.0.2,SNMP 'GETBULK' Reflection DDoS,Médio,5,
WORKSTATION-19,172.18.0.19,SNMP 'GETBULK' Reflection DDoS,Médio,5,
WORKSTATION-13,172.18.0.13,SNMP 'GETBULK' Reflection DDoS,Médio,5,
